TOON,NICKNAME
threepio-chewie,3bacca
threepio-chewie,threepio
ct-5555-fives,5s
ct-5555-fives,ct-5555
ct-5555-fives,fives
admiral-ackbar,aa
admiral-ackbar,ackbar
aayla-secura,aayla
aayla-secura,secura
ahsoka-tano,ahsoka
b2-super-battle-droid,b2
barriss-offee,barriss
barriss-offee,offee
baze-malbus,malbus
baze-malbus,baze
biggs-darklighter,biggs
boba-fett,boba
bodhi-rook,bodhi
cad-bane,cad
captain-phasma,phasma
cassian-andor,cassian
cc-2224-cody,cody
cc-2224-cody,cc
chief-chirpa,chirpa
chief-nebit,nebit
chirrut-imwe,imwe
chirrut-imwe,chirrut
clone-sergeant-phase-i,clone-sergeant
clone-sergeant-phase-i,sergeant
clone-wars-chewbacca,cw-chewbacca
clone-wars-chewbacca,clone-wars-chewie
clone-wars-chewbacca,cw-chewie
clone-wars-chewbacca,cw
coruscant-underworld-police,cup
coruscant-underworld-police,police
coruscant-underworld-police,coruscant
coruscant-underworld-police,underworld
count-dooku,count
count-dooku,dooku
ct-21-0408-echo,echo
ct-7567-rex,rex
ct-7567-rex,captain-rex
ct-7567-rex,cpt-rex
darth-maul,maul
darth-nihilus,nihilus
darth-sidious,sidious
darth-vader,vader
director-krennic,krennic
eeth-koth,koth
eeth-koth,eeth
emperor-palpatine,palpatine
emperor-palpatine,palps
emperor-palpatine,ep
ezra-bridger,ezra
first-order-officer,fo-officer
first-order-stormtrooper,fo-stormtrooper
first-order-tie-pilot,fo-tie-pilot
first-order-tie-pilot,fotp
garazeb-zeb-orrelios,zeb
general-grievous,gg
general-grievous,grievous
general-kenobi,kenobi
general-kenobi,gk
general-veers,veers
geonosian-soldier,geo-soldier
geonosian-spy,geo-spy
geonosian-spy,spy
grand-master-yoda,gmy
grand-master-yoda,yoda
grand-master-yoda,gm-yoda
grand-moff-tarkin,tarkin
han-solo,han
han-solo,solo
hera-syndulla,hera
hk-47,hk
hoth-rebel-scout,hr-scout
hoth-rebel-soldier,hr-soldier
ig-100-magnaguard,magnaguard
ig-100-magnaguard,magna
ig-100-magnaguard,ig-100
ig-86-sentinel-droid,ig-86
imperial-super-commando,isc
jedi-consular,jc
jedi-knight-anakin,jka
jedi-knight-anakin,anakin
jedi-knight-guardian,jk-guardian
jyn-erso,jyn
jyn-erso,erso
k-2so,k2so
k-2so,k2
kanan-jarrus,kanan
kylo-ren,kylo
kylo-ren,og-kylo
lando-calrissian,lando
luke-skywalker,cls
luke-skywalker,command-luke-skywalker
luke-skywalker,luke
luminara-unduli,luminara
mace-windu,mace
mace-windu+A101,windu
nightsister-acolyte,acolyte
nightsister-acolyte,ns-acolyte
nute-gunray,nute
obi-wan-kenobi-old-ben,old-ben
obi-wan-kenobi-old-ben,ben
obi-wan-kenobi-old-ben,obi-wan
old-daka,daka
plo-koon,pk
plo-koon,plo
plo-koon,koon
poe-dameron,poe
poggle-the-lesser,poggle
princess-leia,leia
qui-gon-jinn,qui-gon
r2-d2,r2
sabine-wren,sabine
savage-opress,savage
scarif-rebel-pathfinder,scarif-rebel
sith-trooper,sit
stormtrooper-han,st-han
tie-fighter-pilot,tfp
tie-fighter-pilot,tf-pilot
wedge-antilles,wedge
zam-wesell,zam
